"ID",Main Task,Sub Task,Status,%,Priority,Owner,Blocked By,Notes
MOB-001,Core app,"React Native 0.86 app, 25 screens / 26 routes",Done,100,P0,Dev,,Pre-existing; faithful mirror of the design bundle
MOB-002,Core app,Hand-rolled navigation state machine (store.ts),Done,100,P0,Dev,,No React Navigation by design
MOB-003,Core app,Jest suite — 143 tests passing,Done,100,P0,Dev,,Run: npx jest
MOB-004,Core app,TypeScript strict — 0 errors,Done,100,P0,Dev,,npm run typecheck
MOB-005,Core app,Android debug build + install on device,Done,100,P0,Dev,,Realme RMX2170 (Android 12). Needed C:\pg17-style short paths (Windows MAX_PATH).
MOB-006,Core app,iOS build + device test,Not Started,0,P1,Dev,Mac + Xcode,pod install needs UTF-8 locale (see CLAUDE.md)
MOB-007,Journey tracking,trackInstall + AppDownload write (new endpoint),Done,100,P0,Dev,,Nothing wrote AppDownload before this
MOB-008,Journey tracking,app_opened event on first launch,Done,100,P0,Dev,,
MOB-009,Journey tracking,Fix 6 arrival-driven events to fire on real action,Done,100,P0,Dev,,OTP Verified used to fire on screen ARRIVAL — funnel data was wrong
MOB-010,Journey tracking,"Onboarding step semantics (started on arrive, completed on leave)",Done,100,P0,Dev,,Also fixed time-spent being attributed to the wrong screen
MOB-011,Journey tracking,language_selected captured with the chosen language,Done,100,P1,Dev,,
MOB-012,Journey tracking,Send session_id to OTP verify (identity stitch),Done,100,P0,Dev,,Pre-login activity was orphaned before this
MOB-013,Journey tracking,priorInquiries surfaced to the in-app voice agent,Done,100,P1,Dev,,Agent greets returning website leads
MOB-014,Journey tracking,Verify every event on a real device end to end,In Progress,40,P0,QA,,Install/open/language verified; funnel + KYC steps not yet walked
MOB-015,Upshot SDK,Install react-native-upshotsdk + jcenter patch,Done,100,P0,Dev,,patch-package; upstream uses jcenter() (dead since Feb 2022)
MOB-016,Upshot SDK,"Wrapper: events, identity, logout",Done,100,P0,Dev,,"Method names read from index.js — docs were wrong (disableUser, not userLogout)"
MOB-017,Upshot SDK,Wrapper: activities / IAM / mini-games / tutorials,Done,100,P1,Dev,,showActivityWithType / ById
MOB-018,Upshot SDK,"Wrapper: badges, rewards, streaks",Done,100,P2,Dev,,
MOB-019,Upshot SDK,Wrapper: push register / device token / inbox,Done,100,P1,Dev,,Code ready; needs FCM to actually deliver
MOB-020,Upshot SDK,Wire init at boot + screen views + identify at OTP,Done,100,P0,Dev,,
MOB-021,Upshot SDK,App SDK ID configured (aa5b7c7f-…),Done,100,P0,Dev,,voiceCredentials.local.js (gitignored)
MOB-022,Upshot SDK,Event catalogue + seedUpshotCatalogue(),Done,100,P1,Dev,,20 events with typed attributes
MOB-023,Upshot SDK,Fire catalogue so events appear on Upshot dashboard,Not Started,0,P1,Ops,,Run seedUpshotCatalogue() once from a debug build
MOB-024,Upshot SDK,Verify SDK auth + event delivery on device,Not Started,0,P0,QA,,Watch UpshotAuthStatus listener
MOB-025,Upshot SDK,Confirm New Architecture (bridgeless) runtime behaviour,In Progress,50,P1,Dev,,Compiles via interop; runtime unverified. No codegenConfig in package
MOB-026,Upshot SDK,Pin exact SDK version (currently ^0.4.9),Not Started,0,P2,Dev,,A minor release would silently break the patch
MOB-027,Push notifications,google-services.json into android/app/,Not Started,0,P0,Ops,Firebase project,Required before any push works
MOB-028,Push notifications,Firebase Messaging deps + POST_NOTIFICATIONS permission,Not Started,0,P0,Dev,google-services.json,
MOB-029,Push notifications,Call registerUpshotPush() after permission granted,Not Started,0,P0,Dev,FCM setup,Wrapper function already exists
MOB-030,Push notifications,Forward FCM payloads via forwardPushToUpshot(),Not Started,0,P0,Dev,FCM setup,
MOB-031,Push notifications,APNs key/cert for iOS,Not Started,0,P2,Ops,Apple account,
MOB-032,Push notifications,End-to-end push test to a real handset,Done,100,P0,QA,,VERIFIED on a real handset: FCM accepted the send (HTTP 200) and the notification rendered in the tray. Sent via FCM HTTP v1 with the service-account key.
MOB-033,Voice agent,Ello in-app voice agent (WebRTC transport),Done,100,P1,Dev,,Pre-existing; not modified
MOB-034,Voice agent,Credentials moved out of source into gitignored file,Done,100,P0,Dev,,
MOB-035,Voice agent,Point in-app agent at api-in.getello.ai (India),Done,100,P1,Dev,,"All four clients now on api-in + connect-in with the production key: mobile app, website, admin, server. WebSocket handshake to connect-in verified OPEN."
